"subject" "label" "mean" "std_dev"
2 "standing" 0.25717778 -0.02328523
2 "standing" 0.28602671 -0.013163359
2 "standing" 0.27548482 -0.02605042
2 "standing" 0.27029822 -0.032613869
2 "standing" 0.27483295 -0.027847788
2 "standing" 0.27921995 -0.018620399
2 "standing" 0.27974586 -0.018271026
2 "standing" 0.27460055 -0.02503513
2 "standing" 0.27252874 -0.020954013
2 "standing" 0.2757457 -0.010371994
2 "standing" 0.27859589 -0.015231928
2 "standing" 0.27915178 -0.021879444
2 "standing" 0.27454383 -0.023145294
2 "standing" 0.26906631 -0.027685967
2 "standing" 0.27557925 -0.018936424
2 "standing" 0.28193083 -0.004880615
2 "standing" 0.31107792 -0.019430625
2 "standing" 0.26232825 -0.023257054
2 "standing" 0.28841575 -0.003485395
2 "standing" 0.27116593 -0.025972908
2 "standing" 0.25309467 -0.044192268
2 "standing" 0.27133883 -0.029954058
2 "standing" 0.29926682 0.011798517
2 "standing" 0.29389749 0.01115091
2 "standing" 0.27563911 -0.015565524
2 "standing" 0.27225459 -0.025051205
2 "standing" 0.27642711 -0.026277565
2 "standing" 0.28016952 -0.014362437
2 "standing" 0.27746102 -0.01584543
2 "standing" 0.28837469 -0.0085476599
2 "standing" 0.28590496 -0.0077447295
2 "sitting" 0.29648714 -0.014684879
2 "sitting" 0.27723542 -0.025677001
2 "sitting" 0.2782907 -0.014536086
2 "sitting" 0.27815992 -0.0076678258
2 "sitting" 0.27664638 -0.0049748937
2 "sitting" 0.27829493 -0.022664347
2 "sitting" 0.27505303 -0.024059404
2 "sitting" 0.27486428 -0.01561837
2 "sitting" 0.27871074 -0.016793927
2 "sitting" 0.27822455 -0.016181738
2 "sitting" 0.27625455 -0.016985093
2 "sitting" 0.27574674 -0.015388072
2 "sitting" 0.28028279 -0.019175262
2 "sitting" 0.28540286 0.002355779
2 "sitting" 0.27047249 -0.0089373643
2 "sitting" 0.28022445 -0.028037933
2 "sitting" 0.27724091 -0.01767369
2 "sitting" 0.27925474 -0.012044574
2 "sitting" 0.27981772 -0.010396061
2 "sitting" 0.27579491 -0.034804666
2 "sitting" 0.27379132 -0.041945691
2 "sitting" 0.27609539 -0.018046144
2 "sitting" 0.27767523 -0.012379484
2 "sitting" 0.27679437 -0.017846957
2 "laying" 0.17376905 -0.024869125
2 "laying" 0.3009048 -0.023610414
2 "laying" 0.28567994 -0.021402652
2 "laying" 0.27205902 -0.021271356
2 "laying" 0.27631974 -0.017844672
2 "laying" 0.27869543 -0.017640511
2 "laying" 0.28026202 -0.018697516
2 "laying" 0.29238966 -0.014798532
2 "laying" 0.29089459 -0.012652477
2 "laying" 0.27191593 -0.019731212
2 "laying" 0.29301384 -0.01607838
2 "laying" 0.33999093 -0.039323711
2 "laying" 0.32773332 -0.012972104
2 "laying" 0.26238254 -0.020021626
2 "laying" 0.29490692 -0.017273605
2 "laying" 0.2673108 -0.017739291
2 "laying" 0.29493279 -0.018148994
2 "laying" 0.2843065 -0.017380345
2 "laying" 0.27747775 -0.017918468
2 "laying" 0.31454279 -0.015639484
2 "laying" 0.27616038 -0.018258159
2 "laying" 0.27628845 -0.020230299
2 "laying" 0.323685 -0.015714002
2 "laying" 0.27524826 -0.016467107
2 "walking" 0.20396243 -0.03234452
2 "walking" 0.24934321 -0.003410981
2 "walking" 0.32505052 -0.029803725
2 "walking" 0.30880812 -0.022128064
